coupling_X,rep_Y,node,verdict,reason,kpsi_median,strength,confidence_0_1
0,1,node00,NO_CLEAR,no_clear_p_two,0.18809994692489032,0.74,0.48
0,1,node07,NO_CLEAR,no_clear_p_two,0.15330336338271222,0.56,0.1200000000000001
0,1,node13,NO_CLEAR,no_clear_p_two,0.3790977329060614,0.54,0.08000000000000007
0,2,node00,NO_CLEAR,no_clear_p_two,0.1370091641243318,0.52,0.040000000000000036
0,2,node07,NO_CLEAR,no_clear_p_two,-0.005597097848795117,0.6599999999999999,0.31999999999999984
0,2,node13,NO_CLEAR,no_clear_p_two,0.05262961324043375,0.56,0.1200000000000001
10,1,node00,NO_CLEAR,no_clear_p_two,0.3909573684840819,0.52,0.040000000000000036
10,1,node07,NO_CLEAR,no_clear_p_two,0.09315347604102492,0.52,0.040000000000000036
10,1,node13,NO_CLEAR,no_clear_p_two,0.5331282478316062,0.96,0.9199999999999999
10,2,node00,NO_CLEAR,no_clear_p_two,0.278257655214511,0.6799999999999999,0.3599999999999999
10,2,node07,NO_CLEAR,no_clear_p_two,0.3234878010815622,0.7,0.3999999999999999
10,2,node13,NO_CLEAR,no_clear_p_two,-0.0014773992554360646,0.5800000000000001,0.16000000000000014
20,1,node00,NO_CLEAR,no_clear_p_two,0.086231948849635,0.54,0.08000000000000007
20,1,node07,NO_CLEAR,no_clear_p_two,0.5415315149224602,0.94,0.8799999999999999
20,1,node13,NO_CLEAR,no_clear_p_two,0.5897048374494193,0.96,0.9199999999999999
20,2,node00,NO_CLEAR,no_clear_p_two,0.29235359116028375,0.72,0.43999999999999995
20,2,node07,NO_CLEAR,no_clear_p_two,0.5415542353623172,0.88,0.76
20,2,node13,NO_CLEAR,no_clear_p_two,0.5911478568156058,0.92,0.8400000000000001
30,1,node00,NO_CLEAR,no_clear_p_two,0.4717690314756907,0.72,0.43999999999999995
30,1,node07,NO_CLEAR,no_clear_p_two,0.344966924858997,0.54,0.08000000000000007
30,1,node13,NO_CLEAR,no_clear_p_two,0.041001693858812374,0.5,0.0
30,2,node00,NO_CLEAR,no_clear_p_two,0.16225515178323419,0.74,0.48
30,2,node07,NO_CLEAR,no_clear_p_two,0.378435225479619,0.5,0.0
30,2,node13,NO_CLEAR,no_clear_p_two,0.45398526558927577,0.76,0.52
40,1,node00,NO_CLEAR,no_clear_p_two,-0.19024889218690558,0.74,0.48
40,1,node07,NO_CLEAR,no_clear_p_two,0.40324433183256975,0.72,0.43999999999999995
40,1,node13,NO_CLEAR,no_clear_p_two,-0.030691973892378904,0.72,0.43999999999999995
40,2,node00,NO_CLEAR,no_clear_p_two,0.23066017949003337,0.68,0.3600000000000001
40,2,node07,NO_CLEAR,no_clear_p_two,0.25151241086418064,0.76,0.52
40,2,node13,NO_CLEAR,no_clear_p_two,0.24782946600839426,0.74,0.48
50,1,node00,NO_CLEAR,no_clear_p_two,0.47390231372017233,0.78,0.56
50,1,node07,NO_CLEAR,no_clear_p_two,0.5020395058096636,0.82,0.6399999999999999
50,1,node13,NO_CLEAR,no_clear_p_two,0.07646162748682601,0.52,0.040000000000000036
50,2,node00,NO_CLEAR,no_clear_p_two,0.3199804905512813,0.64,0.28
50,2,node07,NO_CLEAR,no_clear_p_two,0.4801877166584753,0.8,0.6000000000000001
50,2,node13,NO_CLEAR,no_clear_p_two,0.25866457248813723,0.7,0.3999999999999999
60,1,node00,NO_CLEAR,no_clear_p_two,0.3755247654224705,0.5,0.0
60,1,node07,NO_CLEAR,no_clear_p_two,0.5104896897342983,0.8,0.6000000000000001
60,1,node13,NO_CLEAR,no_clear_p_two,0.5174173793261995,0.94,0.8799999999999999
60,2,node00,NO_CLEAR,no_clear_p_two,0.2861557657091121,0.82,0.6399999999999999
60,2,node07,NO_CLEAR,no_clear_p_two,0.40447963898205835,0.54,0.08000000000000007
60,2,node13,NO_CLEAR,no_clear_p_two,0.45066441536632,0.64,0.28
70,1,node00,NO_CLEAR,no_clear_p_two,0.5458469201196823,0.92,0.8400000000000001
70,1,node07,NO_CLEAR,no_clear_p_two,0.29864874655155516,0.72,0.43999999999999995
70,1,node13,NO_CLEAR,no_clear_p_two,0.429340996658676,0.7,0.3999999999999999
70,2,node00,NO_CLEAR,no_clear_p_two,0.33953995757720223,0.52,0.040000000000000036
70,2,node07,NO_CLEAR,no_clear_p_two,0.45760469906944556,0.76,0.52
70,2,node13,NO_CLEAR,no_clear_p_two,0.4806933557530189,0.8,0.6000000000000001
80,1,node00,NO_CLEAR,no_clear_p_two,0.482380377647034,0.74,0.48
